SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
ARCH,223,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32829?crseNumb=223,32829,Materials & Methods III,M,06:00 pm - 08:50 pm,,,Simon J Tickell
ARCH,223,Lecture,Hybrid,131,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32830?crseNumb=223,32830,Materials & Methods III,M,06:00 pm - 08:50 pm,,,Rob A Rumburg
ARCH,223,Lecture,Hybrid,132,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32831?crseNumb=223,32831,Materials & Methods III,M,06:00 pm - 08:50 pm,,,Jesse Mainwaring
ARCH,226,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31771?crseNumb=226,31771,Architectural Representation VI,W,02:00 pm - 04:50 pm,,,Daniel E Brown
ARCH,226,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31772?crseNumb=226,31772,Architectural Representation VI,W,02:00 pm - 04:50 pm,,,Jeremiah Woodring
ARCH,226,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31858?crseNumb=226,31858,Architectural Representation VI,W,02:00 pm - 04:50 pm,,,Jacklynn N Niemiec
ARCH,253,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32832?crseNumb=253,32832,Structural Systems III,M,06:00 pm - 08:50 pm,,,Alex J Stadel
ARCH,253,Lecture,Hybrid,131,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32833?crseNumb=253,32833,Structural Systems III,M,06:00 pm - 08:50 pm,,,Julie P Wiley
ARCH,253,Lecture,Hybrid,132,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32834?crseNumb=253,32834,Structural Systems III,M,06:00 pm - 08:50 pm,,,Mark R Odorizzi
ARCH,283,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31773?crseNumb=283,31773,Architecture Studio 2C,TF,09:00 am - 11:50 am,,,Ulrike Altenmueller-Lewis
ARCH,283,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31774?crseNumb=283,31774,Architecture Studio 2C,TF,09:00 am - 11:50 am,,,Jeremy P Voorhees
ARCH,283,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31861?crseNumb=283,31861,Architecture Studio 2C,TF,09:00 am - 11:50 am,,,Rich H Olaya
ARCH,283,Studio-Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32154?crseNumb=283,32154,Architecture Studio 2C,T,06:00 pm - 09:50 pm,,,Jeremy P Voorhees
ARCH,293,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34005?crseNumb=293,34005,Building Systems III,M,06:00 pm - 08:50 pm,,,STAFF
ARCH,293,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32836?crseNumb=293,32836,Building Systems III,M,06:00 pm - 08:50 pm,,,Rochelle M Spahn
ARCH,293,Lecture,Hybrid,131,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32837?crseNumb=293,32837,Building Systems III,M,06:00 pm - 08:50 pm,,,Mia E Rosensaft
ARCH,315,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31059?crseNumb=315,31059,Sustainable Built Environment I,W,06:00 pm - 08:50 pm,,,Max T Zahniser
ARCH,326,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32838?crseNumb=326,32838,Materials & Methods VI,M,06:00 pm - 08:50 pm,,,Simon J Tickell
ARCH,326,Lecture,Hybrid,131,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32839?crseNumb=326,32839,Materials & Methods VI,M,06:00 pm - 08:50 pm,,,Jesse Mainwaring
ARCH,326,Lecture,Hybrid,132,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33256?crseNumb=326,33256,Materials & Methods VI,M,06:00 pm - 08:50 pm,,,Rob A Rumburg
ARCH,343,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31060?crseNumb=343,31060,Theories of Architecture III,W,06:00 pm - 08:50 pm,,,John T Defazio
ARCH,356,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32840?crseNumb=356,32840,Structural Systems VI,M,06:00 pm - 08:50 pm,,,Alex J Stadel
ARCH,356,Lecture,Hybrid,131,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32841?crseNumb=356,32841,Structural Systems VI,M,06:00 pm - 08:50 pm,,,Julie P Wiley
ARCH,356,Lecture,Hybrid,132,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33258?crseNumb=356,33258,Structural Systems VI,M,06:00 pm - 08:50 pm,,,Mark R Odorizzi
ARCH,T380,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35176?crseNumb=T380,35176,Urban Ecosystem,W,06:00 pm - 08:50 pm,,,Scott M Quitel
ARCH,383,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31860?crseNumb=383,31860,Architecture Studio 3C,T,06:00 pm - 09:50 pm,,,Samuel J Emory
ARCH,383,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32155?crseNumb=383,32155,Architecture Studio 3C,R,06:00 pm - 09:50 pm,,,James W Rowe
ARCH,383,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32728?crseNumb=383,32728,Architecture Studio 3C,R,06:00 pm - 09:50 pm,,,Alexa R Bosse
ARCH,383,Studio-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31859?crseNumb=383,31859,Architecture Studio 3C,T,06:00 pm - 09:50 pm,,,Jason T Austin
ARCH,396,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32844?crseNumb=396,32844,Building Systems VI,M,06:00 pm - 08:50 pm,,,STAFF
ARCH,396,Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32842?crseNumb=396,32842,Building Systems VI,M,06:00 pm - 08:50 pm,,,Rochelle M Spahn
ARCH,396,Lecture,Hybrid,131,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32843?crseNumb=396,32843,Building Systems VI,M,06:00 pm - 08:50 pm,,,Mia E Rosensaft
ARCH,451,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/30237?crseNumb=451,30237,Advanced Drawing,R,06:00 pm - 08:50 pm,,,Rachel S Schade
ARCH,T480,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34018?crseNumb=T480,34018,Contemporary Japanese Arch,T,06:30 pm - 09:20 pm,,,Stephanie C Feldman
ARCH,T480,Special Topics-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35194?crseNumb=T480,35194,Healthcare Design Studio,W,06:00 pm - 09:50 pm,,,Jihyun Song
ARCH,T480,Special Topics-Lecture,Remote Synchronous,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35203?crseNumb=T480,35203,Bio-Inspired Design,W,09:00 am - 11:50 am,,,Eugenia Victoria V Ellis
ARCH,T480,Special Topics-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35304?crseNumb=T480,35304,Afrofuturism & Place Identity,R,06:30 pm - 08:20 pm,,,STAFF
ARCH,T480,Special Topics-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/35004?crseNumb=T480,35004,Into. to Hist. Preservation,R,06:30 pm - 09:20 pm,,,Amy A Lambert
ARCH,483,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32156?crseNumb=483,32156,Architecture Studio 4C,R,06:00 pm - 09:50 pm,,,STAFF
ARCH,483,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32157?crseNumb=483,32157,Architecture Studio 4C,T,06:00 pm - 09:50 pm,,,Kyle D O'Connor
ARCH,483,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33260?crseNumb=483,33260,Architecture Studio 4C,R,06:00 pm - 09:50 pm,,,Simon J Tickell
ARCH,483,Studio-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32158?crseNumb=483,32158,Architecture Studio 4C,T,06:00 pm - 09:50 pm,,,Ariel Vazquez
ARCH,489,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32729?crseNumb=489,32729,Architecture Studio 5C,W,06:00 pm - 09:50 pm,,,Jacklynn N Niemiec
ARCH,489,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/32730?crseNumb=489,32730,Architecture Studio 5C,W,06:00 pm - 09:50 pm,,,Thomas P Kirchner
ARCH,489,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/33261?crseNumb=489,33261,Architecture Studio 5C,W,06:00 pm - 09:50 pm,,,Uk Jung
