SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time._,Days_Time.realName,Days_Time1._,Days_Time1.realName,Instructor
ARCH,143,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12581?crseNumb=143,12581,Architecture and Society III,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Ken F Jacobs
ARCH,181,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11261?crseNumb=181,11261,Architecture Studio 1A,MR,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Ulrike Altenmueller-Lewis
ARCH,181,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11262?crseNumb=181,11262,Architecture Studio 1A,MR,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Stephanie C Feldman
ARCH,181,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11397?crseNumb=181,11397,Architecture Studio 1A,MR,Days _ Time,09:00 am - 11:50 am,Days _ Time1,David A Beker
ARCH,181,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12304?crseNumb=181,12304,Architecture Studio 1A,MR,Days _ Time,09:00 am - 11:50 am,Days _ Time1,STAFF
ARCH,181,Studio-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13020?crseNumb=181,13020,Architecture Studio 1A,W,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Paul J Salvaggio
ARCH,192,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11860?crseNumb=192,11860,Studio 2-AE,MW,Days _ Time,04:00 pm - 05:50 pm,Days _ Time1,John Fotiadis
ARCH,211,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11263?crseNumb=211,11263,Architectural Representation I,W,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Mia E Rosensaft
ARCH,211,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11264?crseNumb=211,11264,Architectural Representation I,W,Days _ Time,09:00 am - 11:50 am,Days _ Time1,STAFF
ARCH,211,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11398?crseNumb=211,11398,Architectural Representation I,W,Days _ Time,09:00 am - 11:50 am,Days _ Time1,STAFF
ARCH,211,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13022?crseNumb=211,13022,Architectural Representation I,R,Days _ Time,07:00 pm - 09:50 pm,Days _ Time1,Anthony V Assetto
ARCH,221,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12305?crseNumb=221,12305,Materials & Methods I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Jesse Mainwaring
ARCH,221,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12306?crseNumb=221,12306,Materials & Methods I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Rob A Rumburg
ARCH,221,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13023?crseNumb=221,13023,Materials & Methods I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,STAFF
ARCH,224,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11399?crseNumb=224,11399,Architectural Representation IV,W,Days _ Time,02:00 pm - 04:50 pm,Days _ Time1,Jacklynn N Niemiec
ARCH,224,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11400?crseNumb=224,11400,Architectural Representation IV,W,Days _ Time,02:00 pm - 04:50 pm,Days _ Time1,Jeremiah Woodring
ARCH,224,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11861?crseNumb=224,11861,Architectural Representation IV,W,Days _ Time,02:00 pm - 04:50 pm,Days _ Time1,STAFF
ARCH,224,Studio-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12582?crseNumb=224,12582,Architectural Representation IV,R,Days _ Time,07:00 pm - 09:50 pm,Days _ Time1,Daniel E Brown
ARCH,251,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12307?crseNumb=251,12307,Structural Systems I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Alex J Stadel
ARCH,251,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12308?crseNumb=251,12308,Structural Systems I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Julie P Wiley
ARCH,251,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13024?crseNumb=251,13024,Structural Systems I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Mark R Odorizzi
ARCH,281,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11401?crseNumb=281,11401,Architecture Studio 2A,TF,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Jacklynn N Niemiec
ARCH,281,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11402?crseNumb=281,11402,Architecture Studio 2A,TF,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Alesa I Rubendall
ARCH,281,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11503?crseNumb=281,11503,Architecture Studio 2A,TF,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Jeremy P Voorhees
ARCH,281,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/14767?crseNumb=281,14767,Architecture Studio 2A,T,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Jeremy P Voorhees
ARCH,291,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12309?crseNumb=291,12309,Building Systems I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Antonio Martinez-Molina
ARCH,291,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12310?crseNumb=291,12310,Building Systems I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Paul A Shapiro
ARCH,291,Lecture,Remote Synchronous,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12583?crseNumb=291,12583,Building Systems I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Brendan McGrath
ARCH,320,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12883?crseNumb=320,12883,Sustainable Built Environment II,W,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,STAFF
ANTH,250,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15356?crseNumb=250,15356,Anthropology of Immigration,MWF,Days _ Time,01:00 pm - 01:50 pm,Days _ Time1,Rachel Reynolds
ARCH,324,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12311?crseNumb=324,12311,Materials & Methods IV,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Jesse Mainwaring
ARBC,101,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15238?crseNumb=101,15238,Arabic I,MW,Days _ Time,12:00 pm - 01:50 pm,Days _ Time1,Amel Mili
