SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
FMTV,185,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/42003?crseNumb=185,42003,TV Industry,W,09:00 am - 11:50 am,,,STAFF
FMTV,185,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/42004?crseNumb=185,42004,TV Industry,W,12:00 pm - 02:50 pm,,,STAFF
FMTV,245,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41634?crseNumb=245,41634,Microbudget Film,W,09:00 am - 11:50 am,,,STAFF
FMTV,265,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41635?crseNumb=265,41635,Commercials and Promos,R,12:30 pm - 03:20 pm,,,STAFF
FMTV,281,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41886?crseNumb=281,41886,Producing for Television,R,12:30 pm - 03:20 pm,,,Andrew B Susskind
FMTV,291,Internship/Clerkship/Preceptor,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41825?crseNumb=291,41825,LA Internship,TBD,TBD,,,STAFF
FMTV,291,Internship/Clerkship/Preceptor,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41826?crseNumb=291,41826,Hollywood Internship,TBD,TBD,,,STAFF
FMTV,292,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41827?crseNumb=292,41827,Screen Action Choreography,W,12:00 pm - 02:50 pm,,,STAFF
FMTV,310,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41828?crseNumb=310,41828,Camera Operators Workshop,T,12:30 pm - 03:20 pm,,,STAFF
FMTV,311,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41829?crseNumb=311,41829,Steadicam Workshop,T,03:30 pm - 06:20 pm,,,STAFF
FMTV,316,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41830?crseNumb=316,41830,Cutting Trailers,T,12:30 pm - 03:20 pm,,,STAFF
FMTV,385,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41372?crseNumb=385,41372,Show Business,T,07:00 pm - 09:50 pm,,,STAFF
FMTV,396,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/42005?crseNumb=396,42005,Junior Project II,F,09:00 am - 11:50 am,,,STAFF
FMVD,206,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40565?crseNumb=206,40565,Audio Production and Post,M,12:00 pm - 02:50 pm,,,STAFF
FMVD,206,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40566?crseNumb=206,40566,Audio Production and Post,W,12:00 pm - 02:50 pm,,,STAFF
FMVD,206,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40567?crseNumb=206,40567,Audio Production and Post,M,03:00 pm - 05:50 pm,,,STAFF
FMVD,206,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40568?crseNumb=206,40568,Audio Production and Post,R,12:30 pm - 03:20 pm,,,STAFF
FMST,256,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/42000?crseNumb=256,42000,Films of Gus Van Sant,M,03:00 pm - 05:50 pm,,,STAFF
FMST,291,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40681?crseNumb=291,40681,Hollywoodland II,W,07:00 pm - 09:50 pm,,,STAFF
FMST,293,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40806?crseNumb=293,40806,Japanese Cinema: Kurosawa,MW,12:00 pm - 02:50 pm,,,STAFF
FMST,352,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40379?crseNumb=352,40379,The Horror Film,TR,12:30 pm - 03:20 pm,,,STAFF
GMAP,121,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41905?crseNumb=121,41905,Game Playtesting,M,05:00 pm - 05:50 pm,,,STAFF
GMAP,231,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41646?crseNumb=231,41646,Scripting for Game Design,M,06:00 pm - 08:50 pm,,,STAFF
GMAP,231,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41906?crseNumb=231,41906,Scripting for Game Design,W,06:00 pm - 08:50 pm,,,STAFF
GMAP,345,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40453?crseNumb=345,40453,Game Development Foundations,M,09:00 am - 11:50 am,,,Michael G Wagner
GMAP,367,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41317?crseNumb=367,41317,Character Animation for Gaming,T,12:30 pm - 03:20 pm,,,STAFF
GMAP,367,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41907?crseNumb=367,41907,Character Animation for Gaming,R,12:30 pm - 03:20 pm,,,STAFF
GMAP,369,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41318?crseNumb=369,41318,Mobile Game Development,T,06:30 pm - 09:20 pm,,,STAFF
GMAP,378,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40518?crseNumb=378,40518,Game Development: Workshop II,T,09:30 am - 12:20 pm,,,STAFF
GMAP,T380,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41909?crseNumb=T380,41909,game elective for SO/PJ/JR,R,03:30 pm - 06:20 pm,,,STAFF
GMAP,395,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41647?crseNumb=395,41647,Advanced Game Design and Production,W,06:00 pm - 08:50 pm,,,STAFF
GMAP,395,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41908?crseNumb=395,41908,Advanced Game Design and Production,M,06:00 pm - 08:50 pm,,,STAFF
VSCM,333,Lecture & Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41020?crseNumb=333,41020,Visual Communication V,MW,09:00 am - 11:50 am,,,STAFF
VSCM,333,Lecture & Lab,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41381?crseNumb=333,41381,Visual Communication V,MW,12:00 pm - 02:50 pm,,,STAFF
VSCM,350,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40874?crseNumb=350,40874,Graphic Design: 20th Century and Beyond,TR,03:30 pm - 04:50 pm,,,STAFF
VSCM,360,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40530?crseNumb=360,40530,Design on Site,M,12:00 pm - 02:50 pm,,,STAFF
IDM,100,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40809?crseNumb=100,40809,Introduction to Web Development,T,06:30 pm - 09:20 pm,,,STAFF
INTR,160,Seminar,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40516?crseNumb=160,40516,Visualization I: Computer Imaging,TR,11:00 am - 12:20 pm,,,STAFF
INTR,245,Seminar,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41323?crseNumb=245,41323,Visualization IV: 3D Modeling,T,03:30 pm - 06:20 pm,,,STAFF
INTR,245,Seminar,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41322?crseNumb=245,41322,Visualization IV: 3D Modeling,T,06:30 pm - 09:20 pm,,,STAFF
INTR,245,Seminar,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41999?crseNumb=245,41999,Visualization IV: 3D Modeling,T,03:30 pm - 06:20 pm,,,STAFF
INTR,300,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41883?crseNumb=300,41883,Visual Culture: Interiors,TR,09:30 am - 10:50 am,,,STAFF
INTR,340,Lecture & Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41691?crseNumb=340,41691,Community Studio,MW,09:00 am - 11:50 am,,,William J Mangold
INTR,340,Lecture & Lab,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41692?crseNumb=340,41692,Community Studio,MW,09:00 am - 11:50 am,,,Frances P Temple-West
INTR,340,Lecture & Lab,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41693?crseNumb=340,41693,Community Studio,MW,09:00 am - 11:50 am,,,STAFF
INTR,350,Seminar,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40595?crseNumb=350,40595,Interior Detailing,M,12:00 pm - 02:50 pm,,,William J Mangold
INTR,350,Seminar,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40642?crseNumb=350,40642,Interior Detailing,M,03:00 pm - 05:50 pm,,,Frances P Temple-West
MUSL,T680,Special Topics-Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41885?crseNumb=T680,41885,Sustainable Cultural Practice,TBD,TBD,,,STAFF
MUSL,750,Practicum,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40561?crseNumb=750,40561,Museum Leadership Practicum,TBD,TBD,,,Polly G McKenna-Cress
MUSC,109,Practice,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40752?crseNumb=109,40752,University Orchestra,W,07:00 pm - 09:50 pm,,,Rosalind M Erwin
MUSC,118,Practice,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40781?crseNumb=118,40781,Chamber Music: Strings,M,06:00 pm - 08:50 pm,,,Karen M Banos
MUSC,120,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40570?crseNumb=120,40570,Music Fundamentals,TR,09:30 am - 10:50 am,,,Luke A Abruzzo
MUSC,121,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40141?crseNumb=121,40141,Music Theory I,TR,11:00 am - 12:20 pm,,,Luke A Abruzzo
MUSC,130,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40034?crseNumb=130,40034,Introduction to Music,TR,12:30 pm - 01:50 pm,,,STAFF
MUSC,130,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40483?crseNumb=130,40483,Introduction to Music,TBD,TBD,,,Madeleine C Riley
MUSC,190,Recitation/Discussion,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40399?crseNumb=190,40399,Class Piano I,TR,11:00 am - 11:50 am,,,STAFF
MUSC,190,Recitation/Discussion,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40400?crseNumb=190,40400,Class Piano I,TR,09:30 am - 10:20 am,,,STAFF
MUSC,190,Recitation/Discussion,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40571?crseNumb=190,40571,Class Piano I,TR,12:30 pm - 01:20 pm,,,STAFF
MUSC,191,Recitation/Discussion,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40401?crseNumb=191,40401,Class Guitar I,TR,12:30 pm - 01:20 pm,,,STAFF
MUSC,238,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40290?crseNumb=238,40290,Rock Music Since the Mid-60s,TR,11:00 am - 12:20 pm,,,Scott D Bacon
MUSC,290,Recitation/Discussion,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40322?crseNumb=290,40322,Class Piano II,TR,02:00 pm - 02:50 pm,,,STAFF
MUSC,331,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40398?crseNumb=331,40398,World Musics,T,02:00 pm - 04:50 pm,,,STAFF
PHTO,110,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40511?crseNumb=110,40511,Photography,W,03:00 pm - 05:50 pm,,,STAFF
PHTO,110,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40512?crseNumb=110,40512,Photography,R,12:30 pm - 03:20 pm,,,STAFF
PHTO,110,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40872?crseNumb=110,40872,Photography,R,03:30 pm - 06:20 pm,,,STAFF
PHTO,110,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40513?crseNumb=110,40513,Photography,M,06:00 pm - 08:50 pm,,,STAFF
PHTO,110,Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40514?crseNumb=110,40514,Photography,T,12:30 pm - 03:20 pm,,,STAFF
PHTO,110,Lecture,Face To Face,006,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40515?crseNumb=110,40515,Photography,M,03:00 pm - 05:50 pm,,,STAFF
PHTO,110,Lecture,Face To Face,007,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40528?crseNumb=110,40528,Photography,W,06:00 pm - 08:50 pm,,,STAFF
PHTO,110,Lecture,Face To Face,008,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40562?crseNumb=110,40562,Photography,M,12:00 pm - 02:50 pm,,,STAFF
PHTO,110,Lecture,Face To Face,009,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40807?crseNumb=110,40807,Photography,R,06:30 pm - 09:20 pm,,,STAFF
PHTO,110,Lecture,Face To Face,010,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40808?crseNumb=110,40808,Photography,W,12:00 pm - 02:50 pm,,,STAFF
PHTO,110,Lecture,Face To Face,011,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40873?crseNumb=110,40873,Photography,T,03:30 pm - 06:20 pm,,,STAFF
PHTO,210,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40529?crseNumb=210,40529,Intermediate Photography,M,06:00 pm - 08:50 pm,,,STAFF
PHTO,210,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40643?crseNumb=210,40643,Intermediate Photography,R,03:30 pm - 06:20 pm,,,STAFF
PHTO,236,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40644?crseNumb=236,40644,Photojournalism,W,03:00 pm - 05:50 pm,,,Andrea L Modica
